RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.1832335366025904,0.947924600152,0.82508825138,332732,2735,10554,2735,96.6425471064
0.1716876123148733,0.877466186872,0.937569399559,327566,7900,3767,7900,97.0523363778
0.17001682567743373,0.882997054953,0.934171928603,327996,7469,3972,7469,97.1094278987
0.170247219758218,0.883168409993,0.933343277151,328014,7450,4022,7450,97.1015884165
0.16892148843421145,0.891064793404,0.926034571339,328632,6831,4463,6831,97.1465530745
0.16607081612638433,0.886679080539,0.939110691261,328220,7242,3674,7242,97.2420484031
0.15894262791704544,0.903883183569,0.933558726528,329471,5990,4009,5990,97.4737241031
0.1509362961387372,0.925146625137,0.925437942293,330942,4518,4499,4518,97.7218234508
0.15729723173908608,0.910729376585,0.928735975074,329966,5493,4300,5493,97.5257580887
0.1563145636410346,0.913103740665,0.928039907854,330129,5329,4342,5329,97.5565757194
0.14405941566306887,0.941595079551,0.920996370507,332010,3447,4767,3447,97.9246884759
0.16392062275861008,0.896388924333,0.931404232752,328960,6496,4139,6496,97.3130029434
0.14320664483521336,0.941123800514,0.923233729429,331970,3485,4632,3485,97.9491856875
0.14695968155971717,0.927607787447,0.930989907025,331070,4384,4164,4384,97.8402851996
0.14325110699034635,0.940478801478,0.923863504533,331925,3528,4594,3528,97.9479120346
0.14015849846663936,0.943518174761,0.926614627355,332101,3347,4428,3347,98.0355595308
0.13963650622596158,0.945551848527,0.925382039977,332228,3215,4502,3215,98.0501646129
0.1365384671163176,0.946171865784,0.930644653306,332236,3194,4184,3194,98.1357246998
0.1363618941696815,0.946443923737,0.930692084542,332205,3177,4181,3177,98.1405433818
