RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.22896568063657985,0.914797450942,0.806753896241,326707,6070,15611,6070,94.7574717091
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
