RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.2278859474155876,0.911584265608,0.81299283265,326407,6370,15107,6370,94.8067994971
0.16913810630302129,0.95992529349,0.890731960932,329773,3004,8827,3004,97.1392300996
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.23247658424176332,0.909865043068,0.802854560984,326352,6425,15926,6425,94.5954637779
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
0.4419678974774288,0.0,0.0,332777,0,80783,0,80.4664377599
0.8970308676959678,0.195335622401,1.0,0,332777,0,332777,19.5335622401
