RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.24280143171307278,0.876243963608,0.81304385498,323504,9277,15104,9277,94.1047464758
0.25612437285000433,0.854346620176,0.800688221023,321753,11028,16102,11028,93.4400305632
0.2584787457281371,0.839724416494,0.813187765358,320242,12539,15092,12539,93.3188738007
0.2553496849253417,0.854461392555,0.802973287451,321732,11049,15917,11049,93.4796538409
0.25013114176419143,0.851113896207,0.823816302531,321139,11642,14233,11642,93.743441192
0.24875009443410548,0.858523657339,0.818033273916,321891,10890,14700,10890,93.8123390519
0.24265874880083613,0.873038327803,0.817424458116,323178,9603,14749,9603,94.111673163
0.25032531311165734,0.886405250852,0.779037668816,324715,8065,17850,8065,93.7337237616
0.23961597762596246,0.885350232407,0.811098869812,324294,8485,15260,8485,94.2584183266
0.22678480703229517,0.910134660179,0.817412079274,326258,6520,14750,6520,94.8568651299
0.22609097575131443,0.910498712954,0.818798509587,326275,6502,14638,6502,94.8882870684
0.24176673069845325,0.916017519621,0.771498953988,327062,5714,18459,5714,94.1548847927
0.24197696401015784,0.907820745739,0.779384276395,326382,6393,17822,6393,94.1447148888
0.2299991310786545,0.906035457278,0.813562259386,325958,6816,15061,6816,94.7100399703
0.22872904850101777,0.906290785696,0.816607454539,325952,6821,14815,6821,94.7683022372
0.22604530305141654,0.91775449605,0.811111248654,326896,5872,15259,5872,94.8903520968
0.22320604100033134,0.920962055071,0.814873045545,327115,5649,14954,5649,95.0179063261
0.22768968097760264,0.91263526859,0.812343691965,326470,6281,15157,6281,94.8157409176
0.22883184004615845,0.908760284865,0.81363129875,326103,6598,15053,6598,94.7635988981
