RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.3459611834722639,0.853843369678,0.467239394427,326319,6461,43038,6461,88.031085953
0.3381105402249814,0.908328661613,0.461309929069,329019,3761,43517,3761,88.5681262589
0.27203980096739216,0.829873118138,0.781302996918,319841,12939,17667,12939,92.599434669
0.26882541397402054,0.839225252606,0.779334761026,320719,12061,17826,12061,92.7732896802
0.2552183142456396,0.880858407956,0.770793359989,324358,8422,18516,8422,93.4863612074
0.25416924958178294,0.893929237585,0.759380067588,325501,7279,19438,7279,93.5397992567
0.25262816507416264,0.896450178584,0.761199757375,325677,7103,19291,7103,93.6179010211
0.2537026651954754,0.883891361665,0.771882698092,324589,8191,18428,8191,93.5634957673
0.25631025834451077,0.885812152788,0.761892972531,324846,7934,19235,7934,93.4305051467
0.2554313967273716,0.895611506559,0.753846725177,325682,7098,19885,7098,93.4754801566
0.2364513837400673,0.890376829648,0.813995518859,324684,8096,15026,8096,94.4090743127
0.23777708006876344,0.890743488857,0.80989812213,324755,8025,15357,8025,94.3462060194
0.23570368521802165,0.891269916476,0.81501058391,324748,8032,14944,8032,94.4443772775
0.21803788621261558,0.92902265772,0.819207011376,327724,5056,14605,5056,95.2459480176
0.18955644979020883,0.966870157646,0.845004518277,330441,2339,12521,2339,96.4068352343
