RMSE,Precision, Recall, TN, FP, FN, TP, Percent Correct
0.24744470431585716,0.885944524085,0.787987571643,324585,8195,17127,8195,93.8771118306
0.25411692054812063,0.883106394434,0.771536090514,324530,8250,18456,8250,93.5424590691
0.25368836846304205,0.883743995919,0.772093138408,324575,8205,18411,8205,93.5642211707
0.2466323008469832,0.882773901435,0.794040825421,324262,8518,16638,8518,93.9172508179
0.2503591189939491,0.886950020455,0.778319695976,324766,8014,17908,8014,93.7320311537
0.2550192766292846,0.885264888825,0.766386492208,324756,8024,18872,8024,93.4965168547
0.25351197580388557,0.889396551724,0.766275082629,325082,7698,18881,7698,93.5731678124
0.2618124974760131,0.880819231607,0.75065298392,324575,8205,20143,8205,93.1454216165
0.3423321995003804,0.839243349919,0.49483183343,325123,7657,40809,7657,88.2808665185
0.6698277744993177,0.231683705874,0.559932163945,182777,150003,35550,150003,55.1330752509
0.6761906857189868,0.219756165716,0.525692286743,182001,150779,38316,150779,54.2766156547
